Date/Time,Word Count,en,zh-Hant
2022.07.19-09.49.58,445,445,0
2022.07.19-09.58.09,444,444,0
2022.07.19-10.08.27,438,438,36
2022.07.19-10.19.13,438,438,84
2022.07.19-10.47.59,438,438,394
2022.07.19-10.52.53,438,438,428
2022.07.19-10.58.07,433,433,428
2022.07.19-11.04.12,432,432,432
2022.07.20-09.22.20,436,436,424
2022.07.20-09.32.31,436,436,436
2022.07.20-15.08.37,436,436,431
2022.07.20-15.09.18,436,436,436
2022.07.25-09.23.03,416,416,414
2022.07.25-09.24.58,416,416,416
2022.07.27-09.49.32,417,417,400
2022.07.27-09.58.28,426,426,409
2022.07.27-10.01.17,426,426,426
2022.07.27-10.10.30,423,423,409
2022.07.27-10.11.10,423,423,414
2022.07.27-10.12.01,423,423,423
2022.07.27-10.33.43,448,448,423
2022.07.27-10.35.37,448,448,448
2022.07.27-12.05.24,448,448,447
2022.07.27-12.06.06,448,448,448
2022.07.28-14.50.35,448,448,447
2022.07.28-14.55.42,448,448,448
2022.07.29-11.15.54,477,477,448
2022.07.29-11.28.29,477,477,477
2022.07.29-17.26.43,476,476,465
2022.07.29-17.27.15,476,476,476
2022.08.18-09.43.29,1081,1081,476
2022.08.18-10.02.41,1076,1076,1075
2022.08.18-10.14.13,1076,1076,1076
2022.08.18-10.21.12,1141,1141,1076
2022.08.18-10.27.36,1141,1141,1141
2022.08.18-10.29.06,1079,1079,1079
2022.08.25-14.35.30,1145,1145,1079
2022.08.25-14.40.44,1145,1145,1145
2022.09.05-11.05.44,1159,1159,1145
2022.09.05-11.10.15,1157,1157,1153
2022.09.05-11.20.10,1158,1158,1156
2022.09.05-11.21.03,1158,1158,1158
2022.09.12-14.07.00,1159,1159,1127
2022.09.12-14.10.10,1159,1159,1134
2022.09.12-14.12.54,1159,1159,1159
